Tue Dec 13 14:32:32 2022 Epoch 88, lr: 0.0000609, val loss: 84.69937, acc: 71.00000
Tue Dec 13 14:32:41 2022 Epoch 102, lr: 0.0000500, val loss: 72.50199, acc: 78.00000
Tue Dec 13 14:32:54 2022 Epoch 89, lr: 0.0000601, val loss: 84.51611, acc: 71.27000
Tue Dec 13 14:32:59 2022 Epoch 103, lr: 0.0000492, val loss: 72.11021, acc: 78.56000
Tue Dec 13 14:33:15 2022 Epoch 90, lr: 0.0000594, val loss: 83.70597, acc: 72.15000
Tue Dec 13 14:33:18 2022 Epoch 104, lr: 0.0000484, val loss: 72.18686, acc: 78.00000
Tue Dec 13 14:33:37 2022 Epoch 105, lr: 0.0000476, val loss: 73.55268, acc: 78.11000
Tue Dec 13 14:33:37 2022 Epoch 91, lr: 0.0000586, val loss: 83.31124, acc: 72.01000
Tue Dec 13 14:33:55 2022 Epoch 106, lr: 0.0000469, val loss: 73.75157, acc: 77.86000
Tue Dec 13 14:33:59 2022 Epoch 92, lr: 0.0000578, val loss: 83.03375, acc: 72.00000
Tue Dec 13 14:34:14 2022 Epoch 107, lr: 0.0000461, val loss: 73.15563, acc: 78.02000
Tue Dec 13 14:34:21 2022 Epoch 93, lr: 0.0000570, val loss: 83.17092, acc: 72.10000
Tue Dec 13 14:34:33 2022 Epoch 108, lr: 0.0000453, val loss: 73.38414, acc: 78.21000
Tue Dec 13 14:34:43 2022 Epoch 94, lr: 0.0000563, val loss: 83.28257, acc: 71.95000
Tue Dec 13 14:34:52 2022 Epoch 109, lr: 0.0000445, val loss: 72.01953, acc: 78.69000
Tue Dec 13 14:35:05 2022 Epoch 95, lr: 0.0000555, val loss: 84.50825, acc: 71.50000
Tue Dec 13 14:35:11 2022 Epoch 110, lr: 0.0000437, val loss: 72.62423, acc: 78.41000
Tue Dec 13 14:35:28 2022 Epoch 96, lr: 0.0000547, val loss: 83.49490, acc: 71.60000
Tue Dec 13 14:35:29 2022 Epoch 111, lr: 0.0000430, val loss: 74.57301, acc: 78.06000
Tue Dec 13 14:35:48 2022 Epoch 112, lr: 0.0000422, val loss: 73.45017, acc: 78.64000
Tue Dec 13 14:35:50 2022 Epoch 97, lr: 0.0000539, val loss: 81.38327, acc: 72.75000
Tue Dec 13 14:36:07 2022 Epoch 113, lr: 0.0000414, val loss: 74.37074, acc: 78.36000
Tue Dec 13 14:36:11 2022 Epoch 98, lr: 0.0000531, val loss: 82.11438, acc: 72.27000
Tue Dec 13 14:36:26 2022 Epoch 114, lr: 0.0000406, val loss: 75.09595, acc: 77.92000
Tue Dec 13 14:36:33 2022 Epoch 99, lr: 0.0000524, val loss: 82.57846, acc: 72.56000
Tue Dec 13 14:36:45 2022 Epoch 115, lr: 0.0000399, val loss: 75.20091, acc: 78.15000
Tue Dec 13 14:36:54 2022 Epoch 100, lr: 0.0000516, val loss: 81.86234, acc: 72.76000
Tue Dec 13 14:37:04 2022 Epoch 116, lr: 0.0000391, val loss: 75.36451, acc: 78.20000
Tue Dec 13 14:37:17 2022 Epoch 101, lr: 0.0000508, val loss: 82.88055, acc: 72.38000
Tue Dec 13 14:37:23 2022 Epoch 117, lr: 0.0000383, val loss: 76.55482, acc: 77.83000
Tue Dec 13 14:37:38 2022 Epoch 102, lr: 0.0000500, val loss: 81.00471, acc: 72.69000
Tue Dec 13 14:37:42 2022 Epoch 118, lr: 0.0000376, val loss: 75.12570, acc: 78.31000
Tue Dec 13 14:37:59 2022 Epoch 103, lr: 0.0000492, val loss: 81.61491, acc: 72.57000
Tue Dec 13 14:38:01 2022 Epoch 119, lr: 0.0000368, val loss: 75.30275, acc: 78.53000
Tue Dec 13 14:38:20 2022 Epoch 120, lr: 0.0000361, val loss: 76.24479, acc: 78.54000
Tue Dec 13 14:38:20 2022 Epoch 104, lr: 0.0000484, val loss: 82.14761, acc: 72.65000
